Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Right Superior Frontal Area,,,,,,ST115SA,,,rh_superiorfrontal_area,,,ST115SA,rh_superiorfrontal_area,,,rh_superiorfrontal_area,rh_(superiorfrontal)SurfArea,,,rh_superiorfrontal_area,,rh_superiorfrontal_area,,,rh_superiorfrontal_area,rh_superiorfrontal_area,
Right Superior Parietal Area,,,,,,ST116SA,,,rh_superiorparietal_area,,,ST116SA,rh_superiorparietal_area,,,rh_superiorparietal_area,rh_(superiorparietal)SurfArea,,,rh_superiorparietal_area,,rh_superiorparietal_area,,,rh_superiorparietal_area,rh_superiorparietal_area,
Right Superior Temporal Area,,,,,,ST117SA,,,rh_superiortemporal_area,,,ST117SA,rh_superiortemporal_area,,,rh_superiortemporal_area,rh_(superiortemporal)SurfArea,,,rh_superiortemporal_area,,rh_superiortemporal_area,,,rh_superiortemporal_area,rh_superiortemporal_area,
Right Supramarginal Area,,,,,,ST118SA,,,rh_supramarginal_area,,,ST118SA,rh_supramarginal_area,,,rh_supramarginal_area,rh_(supramarginal)SurfArea,,,rh_supramarginal_area,,rh_supramarginal_area,,,rh_supramarginal_area,rh_supramarginal_area,
Right Temporal Pole Area,,,,,,ST119SA,,,rh_temporalpole_area,,,ST119SA,rh_temporalpole_area,,,rh_temporalpole_area,rh_(temporalpole)SurfArea,,,rh_temporalpole_area,,rh_temporalpole_area,,,rh_temporalpole_area,rh_temporalpole_area,
Right Temporal Pole Thickness,,,,,,ST119TA,,rh_temporalpole_thickness,rh_temporalpole_thickness,,,ST119TA,rh_temporalpole_thickness,,,rh_temporalpole_thickness,rh_(temporalpole)ThickAvg,,,rh_temporalpole_thickness,,rh_temporalpole_thickness,,,rh_temporalpole_thickness,rh_temporalpole_thickness,
Right Transverse Temporal Area,,,,,,ST121SA,,,rh_transversetemporal_area,,,ST121SA,rh_transversetemporal_area,,,rh_transversetemporal_area,rh_(transversetemporal)SurfArea,,,rh_transversetemporal_area,,rh_transversetemporal_area,,,rh_transversetemporal_area,rh_transversetemporal_area,
Right-vessel From Qdec,,UBERON:0016565,,,,ST125SV,,Right-vessel,Right-vessel,,,ST125SV,Right-vessel,,,Right-vessel,(Right-vessel)Volume_mm3,,,Right-vessel,,Right-vessel,,Right_vessel,Right-vessel,Right-vessel,
Right White Matter Hypointensities Volume,,HP:0007103,,,,,,Right-WM-hypointensities,Right-WM-hypointensities,,,,Right-WM-hypointensities,,,Right-WM-hypointensities,(WM-hypointensities)Volume_mm3,,,Right-WM-hypointensities,,Right-WM-hypointensities,,,Right-WM-hypointensities,Right-WM-hypointensities,
Left Insula Area,,,,,,ST129SA,,,lh_insula_area,,,ST129SA,lh_insula_area,,,lh_insula_area,lh_(insula)SurfArea,,,lh_insula_area,,lh_insula_area,,,lh_insula_area,lh_insula_area,
Right Insula Area,,,,,,ST130SA,,,rh_insula_area,,,ST130SA,rh_insula_area,,,rh_insula_area,rh_(insula)SurfArea,,,rh_insula_area,,rh_insula_area,,,rh_insula_area,rh_insula_area,
Left Banks Of The Superior Temoral Sulcus Cortical Mean Volume,,EFO:0010286,,,,ST13CV,,,lh_bankssts_volume,,,ST13CV,lh_bankssts_volume,,,lh_bankssts_volume,lh_(bankssts)GrayVol,,,lh_bankssts_volume,,lh_bankssts_volume,,,lh_bankssts_volume,lh_bankssts_volume,
Left Banks Of The Superior Temoral Sulcus Cortical Thickness,,,,,,ST13TA,,lh_bankssts_thickness,lh_bankssts_thickness,,,ST13TA,lh_bankssts_thickness,,,lh_bankssts_thickness,lh_(bankssts)ThickAvg,,,lh_bankssts_thickness,,lh_bankssts_thickness,,,lh_bankssts_thickness,lh_bankssts_thickness,
