Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Right Gyrus Occipital Middle Thickness From Qdec,,,,,,,,,rh_G_occipital_middle_thickness,,,,rh_G_occipital_middle_thickness,,,rh_G_occipital_middle_thickness,(G_occipital_middle)ThickAvg,,,rh_G_occipital_middle_thickness,,rh_G_occipital_middle_thickness,,,rh_G_occipital_middle_thickness,rh_G_occipital_middle_thickness,
Right Gyrus Occipital Sup Thickness From Qdec,,,,,,,,,rh_G_occipital_sup_thickness,,,,rh_G_occipital_sup_thickness,,,rh_G_occipital_sup_thickness,(G_occipital_sup)ThickAvg,,,rh_G_occipital_sup_thickness,,rh_G_occipital_sup_thickness,,,rh_G_occipital_sup_thickness,rh_G_occipital_sup_thickness,
Right Gyrus Oc-temp Lat-fusifor Thickness From Qdec,,,,,,,,,rh_G_oc-temp_lat-fusifor_thickness,,,,rh_G_oc-temp_lat-fusifor_thickness,,,rh_G_oc-temp_lat-fusifor_thickness,(G_oc-temp_lat-fusifor)ThickAvg,,,rh_G_oc-temp_lat-fusifor_thickness,,rh_G_oc-temp_lat-fusifor_thickness,,,rh_G_oc-temp_lat-fusifor_thickness,rh_G_oc-temp_lat-fusifor_thickness,
Right Gyrus Oc-temp Med-Lingual Thickness From Qdec,,,,,,,,,rh_G_oc-temp_med-Lingual_thickness,,,,rh_G_oc-temp_med-Lingual_thickness,,,rh_G_oc-temp_med-Lingual_thickness,(G_oc-temp_med-Lingual)ThickAvg,,,rh_G_oc-temp_med-Lingual_thickness,,rh_G_oc-temp_med-Lingual_thickness,,,rh_G_oc-temp_med-Lingual_thickness,rh_G_oc-temp_med-Lingual_thickness,
Right Gyrus Oc-temp Med-Parahip Thickness From Qdec,,,,,,,,,rh_G_oc-temp_med-Parahip_thickness,,,,rh_G_oc-temp_med-Parahip_thickness,,,rh_G_oc-temp_med-Parahip_thickness,(G_oc-temp_med-Parahip)ThickAvg,,,rh_G_oc-temp_med-Parahip_thickness,,rh_G_oc-temp_med-Parahip_thickness,,,rh_G_oc-temp_med-Parahip_thickness,rh_G_oc-temp_med-Parahip_thickness,
Right Gyrus Orbital Thickness From Qdec,,,,,,,,,rh_G_orbital_thickness,,,,rh_G_orbital_thickness,,,rh_G_orbital_thickness,(G_orbital)ThickAvg,,,rh_G_orbital_thickness,,rh_G_orbital_thickness,,,rh_G_orbital_thickness,rh_G_orbital_thickness,
Right Gyrus Pariet Inf-Angular Thickness From Qdec,,,,,,,,,rh_G_pariet_inf-Angular_thickness,,,,rh_G_pariet_inf-Angular_thickness,,,rh_G_pariet_inf-Angular_thickness,(G_pariet_inf-Angular)ThickAvg,,,rh_G_pariet_inf-Angular_thickness,,rh_G_pariet_inf-Angular_thickness,,,rh_G_pariet_inf-Angular_thickness,rh_G_pariet_inf-Angular_thickness,
Right Gyrus Pariet Inf-Supramar Thickness From Qdec,,,,,,,,,rh_G_pariet_inf-Supramar_thickness,,,,rh_G_pariet_inf-Supramar_thickness,,,rh_G_pariet_inf-Supramar_thickness,(G_pariet_inf-Supramar)ThickAvg,,,rh_G_pariet_inf-Supramar_thickness,,rh_G_pariet_inf-Supramar_thickness,,,rh_G_pariet_inf-Supramar_thickness,rh_G_pariet_inf-Supramar_thickness,
Right Gyrus Parietal Sup Thickness From Qdec,,,,,,,,,rh_G_parietal_sup_thickness,,,,rh_G_parietal_sup_thickness,,,rh_G_parietal_sup_thickness,(G_parietal_sup)ThickAvg,,,rh_G_parietal_sup_thickness,,rh_G_parietal_sup_thickness,,,rh_G_parietal_sup_thickness,rh_G_parietal_sup_thickness,
Right Gyrus Postcentral Thickness From Qdec,,,,,,,,,rh_G_postcentral_thickness,,,,rh_G_postcentral_thickness,,,rh_G_postcentral_thickness,(G_postcentral)ThickAvg,,,rh_G_postcentral_thickness,,rh_G_postcentral_thickness,,,rh_G_postcentral_thickness,rh_G_postcentral_thickness,
Right Gyrus Precentral Thickness From Qdec,,,,,,,,,rh_G_precentral_thickness,,,,rh_G_precentral_thickness,,,rh_G_precentral_thickness,(G_precentral)ThickAvg,,,rh_G_precentral_thickness,,rh_G_precentral_thickness,,,rh_G_precentral_thickness,rh_G_precentral_thickness,
Right Gyrus Rectus Thickness From Qdec,,,,,,,,,rh_G_rectus_thickness,,,,rh_G_rectus_thickness,,,rh_G_rectus_thickness,(G_rectus)ThickAvg,,,rh_G_rectus_thickness,,rh_G_rectus_thickness,,,rh_G_rectus_thickness,rh_G_rectus_thickness,
Right Gyrus Subcallosal Thickness From Qdec,,,,,,,,,rh_G_subcallosal_thickness,,,,rh_G_subcallosal_thickness,,,rh_G_subcallosal_thickness,(G_subcallosal)ThickAvg,,,rh_G_subcallosal_thickness,,rh_G_subcallosal_thickness,,,rh_G_subcallosal_thickness,rh_G_subcallosal_thickness,
Right Gyrus Temp Sup-G T Transv Thickness From Qdec,,,,,,,,,rh_G_temp_sup-G_T_transv_thickness,,,,rh_G_temp_sup-G_T_transv_thickness,,,rh_G_temp_sup-G_T_transv_thickness,(G_temp_sup-G_T_transv)ThickAvg,,,rh_G_temp_sup-G_T_transv_thickness,,rh_G_temp_sup-G_T_transv_thickness,,,rh_G_temp_sup-G_T_transv_thickness,rh_G_temp_sup-G_T_transv_thickness,
Right Gyrus Temp Sup-Lateral Thickness From Qdec,,,,,,,,,rh_G_temp_sup-Lateral_thickness,,,,rh_G_temp_sup-Lateral_thickness,,,rh_G_temp_sup-Lateral_thickness,(G_temp_sup-Lateral)ThickAvg,,,rh_G_temp_sup-Lateral_thickness,,rh_G_temp_sup-Lateral_thickness,,,rh_G_temp_sup-Lateral_thickness,rh_G_temp_sup-Lateral_thickness,
Right Gyrus Temp Sup-Plan Polar Thickness From Qdec,,,,,,,,,rh_G_temp_sup-Plan_polar_thickness,,,,rh_G_temp_sup-Plan_polar_thickness,,,rh_G_temp_sup-Plan_polar_thickness,(G_temp_sup-Plan_polar)ThickAvg,,,rh_G_temp_sup-Plan_polar_thickness,,rh_G_temp_sup-Plan_polar_thickness,,,rh_G_temp_sup-Plan_polar_thickness,rh_G_temp_sup-Plan_polar_thickness,
Right Gyrus Temp Sup-Plan Tempo Thickness From Qdec,,,,,,,,,rh_G_temp_sup-Plan_tempo_thickness,,,,rh_G_temp_sup-Plan_tempo_thickness,,,rh_G_temp_sup-Plan_tempo_thickness,(G_temp_sup-Plan_tempo)ThickAvg,,,rh_G_temp_sup-Plan_tempo_thickness,,rh_G_temp_sup-Plan_tempo_thickness,,,rh_G_temp_sup-Plan_tempo_thickness,rh_G_temp_sup-Plan_tempo_thickness,
Right Gyrus Temporal Inferior Thickness From Qdec,,UBERON:0002751,,,,,,,rh_G_temporal_inf_thickness,,,,rh_G_temporal_inf_thickness,,,rh_G_temporal_inf_thickness,(G_temporal_inf)ThickAvg,,,rh_G_temporal_inf_thickness,,rh_G_temporal_inf_thickness,,,rh_G_temporal_inf_thickness,rh_G_temporal_inf_thickness,
Right Gyrus Temporal Middle Thickness From Qdec,,,,,,,,,rh_G_temporal_middle_thickness,,,,rh_G_temporal_middle_thickness,,,rh_G_temporal_middle_thickness,(G_temporal_middle)ThickAvg,,,rh_G_temporal_middle_thickness,,rh_G_temporal_middle_thickness,,,rh_G_temporal_middle_thickness,rh_G_temporal_middle_thickness,
Right Lat Fis-ant-Horizont Thickness From Qdec,,,,,,,,,rh_Lat_Fis-ant-Horizont_thickness,,,,rh_Lat_Fis-ant-Horizont_thickness,,,rh_Lat_Fis-ant-Horizont_thickness,(Lat_Fis-ant-Horizont)ThickAvg,,,rh_Lat_Fis-ant-Horizont_thickness,,rh_Lat_Fis-ant-Horizont_thickness,,,rh_Lat_Fis-ant-Horizont_thickness,rh_Lat_Fis-ant-Horizont_thickness,
Right Lat Fis-ant-Vertical Thickness From Qdec,,,,,,,,,rh_Lat_Fis-ant-Vertical_thickness,,,,rh_Lat_Fis-ant-Vertical_thickness,,,rh_Lat_Fis-ant-Vertical_thickness,(Lat_Fis-ant-Vertical)ThickAvg,,,rh_Lat_Fis-ant-Vertical_thickness,,rh_Lat_Fis-ant-Vertical_thickness,,,rh_Lat_Fis-ant-Vertical_thickness,rh_Lat_Fis-ant-Vertical_thickness,
Right Lat Fis-post Thickness From Qdec,,,,,,,,,rh_Lat_Fis-post_thickness,,,,rh_Lat_Fis-post_thickness,,,rh_Lat_Fis-post_thickness,(Lat_Fis-post)ThickAvg,,,rh_Lat_Fis-post_thickness,,rh_Lat_Fis-post_thickness,,,rh_Lat_Fis-post_thickness,rh_Lat_Fis-post_thickness,
Right Pole Occipital Thickness From Qdec,,,,,,,,,rh_Pole_occipital_thickness,,,,rh_Pole_occipital_thickness,,,rh_Pole_occipital_thickness,(Pole_occipital)ThickAvg,,,rh_Pole_occipital_thickness,,rh_Pole_occipital_thickness,,,rh_Pole_occipital_thickness,rh_Pole_occipital_thickness,
Right Pole Temporal Thickness From Qdec,,,,,,,,,rh_Pole_temporal_thickness,,,,rh_Pole_temporal_thickness,,,rh_Pole_temporal_thickness,(Pole_temporal)ThickAvg,,,rh_Pole_temporal_thickness,,rh_Pole_temporal_thickness,,,rh_Pole_temporal_thickness,rh_Pole_temporal_thickness,
Right Sulcus Calcarine Thickness From Qdec,,,,,,,,,rh_S_calcarine_thickness,,,,rh_S_calcarine_thickness,,,rh_S_calcarine_thickness,(S_calcarine)ThickAvg,,,rh_S_calcarine_thickness,,rh_S_calcarine_thickness,,,rh_S_calcarine_thickness,rh_S_calcarine_thickness,
Right Sulcus Central Thickness From Qdec,,,,,,,,,rh_S_central_thickness,,,,rh_S_central_thickness,,,rh_S_central_thickness,(S_central)ThickAvg,,,rh_S_central_thickness,,rh_S_central_thickness,,,rh_S_central_thickness,rh_S_central_thickness,
Right Sulcus Cingul-Marginalis Thickness From Qdec,,,,,,,,,rh_S_cingul-Marginalis_thickness,,,,rh_S_cingul-Marginalis_thickness,,,rh_S_cingul-Marginalis_thickness,(S_cingul-Marginalis)ThickAvg,,,rh_S_cingul-Marginalis_thickness,,rh_S_cingul-Marginalis_thickness,,,rh_S_cingul-Marginalis_thickness,rh_S_cingul-Marginalis_thickness,
Right Sulcus Circular Insula Anterior Thickness From Qdec,,,,,,,,,rh_S_circular_insula_ant_thickness,,,,rh_S_circular_insula_ant_thickness,,,rh_S_circular_insula_ant_thickness,(S_circular_insula_ant)ThickAvg,,,rh_S_circular_insula_ant_thickness,,rh_S_circular_insula_ant_thickness,,,rh_S_circular_insula_ant_thickness,rh_S_circular_insula_ant_thickness,
Right Sulcus Circular Insula Inferior Thickness From Qdec,,,,,,,,,rh_S_circular_insula_inf_thickness,,,,rh_S_circular_insula_inf_thickness,,,rh_S_circular_insula_inf_thickness,(S_circular_insula_inf)ThickAvg,,,rh_S_circular_insula_inf_thickness,,rh_S_circular_insula_inf_thickness,,,rh_S_circular_insula_inf_thickness,rh_S_circular_insula_inf_thickness,
Right Sulcus Circular Insula Sup Thickness From Qdec,,,,,,,,,rh_S_circular_insula_sup_thickness,,,,rh_S_circular_insula_sup_thickness,,,rh_S_circular_insula_sup_thickness,(S_circular_insula_sup)ThickAvg,,,rh_S_circular_insula_sup_thickness,,rh_S_circular_insula_sup_thickness,,,rh_S_circular_insula_sup_thickness,rh_S_circular_insula_sup_thickness,
Right Sulcus Collat Transv Anterior Thickness From Qdec,,,,,,,,,rh_S_collat_transv_ant_thickness,,,,rh_S_collat_transv_ant_thickness,,,rh_S_collat_transv_ant_thickness,(S_collat_transv_ant)ThickAvg,,,rh_S_collat_transv_ant_thickness,,rh_S_collat_transv_ant_thickness,,,rh_S_collat_transv_ant_thickness,rh_S_collat_transv_ant_thickness,
Right Sulcus Collat Transv Posterior Thickness From Qdec,,,,,,,,,rh_S_collat_transv_post_thickness,,,,rh_S_collat_transv_post_thickness,,,rh_S_collat_transv_post_thickness,(S_collat_transv_post)ThickAvg,,,rh_S_collat_transv_post_thickness,,rh_S_collat_transv_post_thickness,,,rh_S_collat_transv_post_thickness,rh_S_collat_transv_post_thickness,
Right Sulcus Frontal Inferior Thickness From Qdec,,,,,,,,,rh_S_front_inf_thickness,,,,rh_S_front_inf_thickness,,,rh_S_front_inf_thickness,(S_front_inf)ThickAvg,,,rh_S_front_inf_thickness,,rh_S_front_inf_thickness,,,rh_S_front_inf_thickness,rh_S_front_inf_thickness,
Right Sulcus Frontal Middle Thickness From Qdec,,,,,,,,,rh_S_front_middle_thickness,,,,rh_S_front_middle_thickness,,,rh_S_front_middle_thickness,(S_front_middle)ThickAvg,,,rh_S_front_middle_thickness,,rh_S_front_middle_thickness,,,rh_S_front_middle_thickness,rh_S_front_middle_thickness,
Right Sulcus Frontal Sup Thickness From Qdec,,,,,,,,,rh_S_front_sup_thickness,,,,rh_S_front_sup_thickness,,,rh_S_front_sup_thickness,(S_front_sup)ThickAvg,,,rh_S_front_sup_thickness,,rh_S_front_sup_thickness,,,rh_S_front_sup_thickness,rh_S_front_sup_thickness,
Right Sulcus Interm Prim-Jensen Thickness From Qdec,,,,,,,,,rh_S_interm_prim-Jensen_thickness,,,,rh_S_interm_prim-Jensen_thickness,,,rh_S_interm_prim-Jensen_thickness,(S_interm_prim-Jensen)ThickAvg,,,rh_S_interm_prim-Jensen_thickness,,rh_S_interm_prim-Jensen_thickness,,,rh_S_interm_prim-Jensen_thickness,rh_S_interm_prim-Jensen_thickness,
Right Sulcus Intrapariet And P Trans Thickness From Qdec,,,,,,,,,rh_S_intrapariet_and_P_trans_thickness,,,,rh_S_intrapariet_and_P_trans_thickness,,,rh_S_intrapariet_and_P_trans_thickness,(S_intrapariet_and_P_trans)ThickAvg,,,rh_S_intrapariet_and_P_trans_thickness,,rh_S_intrapariet_and_P_trans_thickness,,,rh_S_intrapariet_and_P_trans_thickness,rh_S_intrapariet_and_P_trans_thickness,
Right Sulcus Oc Middle And Lunatus Thickness From Qdec,,,,,,,,,rh_S_oc_middle_and_Lunatus_thickness,,,,rh_S_oc_middle_and_Lunatus_thickness,,,rh_S_oc_middle_and_Lunatus_thickness,(S_oc_middle_and_Lunatus)ThickAvg,,,rh_S_oc_middle_and_Lunatus_thickness,,rh_S_oc_middle_and_Lunatus_thickness,,,rh_S_oc_middle_and_Lunatus_thickness,rh_S_oc_middle_and_Lunatus_thickness,
Right Sulcus Oc Sup And Transversal Thickness From Qdec,,,,,,,,,rh_S_oc_sup_and_transversal_thickness,,,,rh_S_oc_sup_and_transversal_thickness,,,rh_S_oc_sup_and_transversal_thickness,(S_oc_sup_and_transversal)ThickAvg,,,rh_S_oc_sup_and_transversal_thickness,,rh_S_oc_sup_and_transversal_thickness,,,rh_S_oc_sup_and_transversal_thickness,rh_S_oc_sup_and_transversal_thickness,
Right Sulcus Occipital Anterior Thickness From Qdec,,,,,,,,,rh_S_occipital_ant_thickness,,,,rh_S_occipital_ant_thickness,,,rh_S_occipital_ant_thickness,(S_occipital_ant)ThickAvg,,,rh_S_occipital_ant_thickness,,rh_S_occipital_ant_thickness,,,rh_S_occipital_ant_thickness,rh_S_occipital_ant_thickness,
Right Sulcus Oc-temp Lat Thickness From Qdec,,,,,,,,,rh_S_oc-temp_lat_thickness,,,,rh_S_oc-temp_lat_thickness,,,rh_S_oc-temp_lat_thickness,(S_oc-temp_lat)ThickAvg,,,rh_S_oc-temp_lat_thickness,,rh_S_oc-temp_lat_thickness,,,rh_S_oc-temp_lat_thickness,rh_S_oc-temp_lat_thickness,
Right Sulcus Oc-temp Med And Lingual Thickness From Qdec,,,,,,,,,rh_S_oc-temp_med_and_Lingual_thickness,,,,rh_S_oc-temp_med_and_Lingual_thickness,,,rh_S_oc-temp_med_and_Lingual_thickness,(S_oc-temp_med_and_Lingual)ThickAvg,,,rh_S_oc-temp_med_and_Lingual_thickness,,rh_S_oc-temp_med_and_Lingual_thickness,,,rh_S_oc-temp_med_and_Lingual_thickness,rh_S_oc-temp_med_and_Lingual_thickness,
Right Sulcus Orbital Lateral Thickness From Qdec,,,,,,,,,rh_S_orbital_lateral_thickness,,,,rh_S_orbital_lateral_thickness,,,rh_S_orbital_lateral_thickness,(S_orbital_lateral)ThickAvg,,,rh_S_orbital_lateral_thickness,,rh_S_orbital_lateral_thickness,,,rh_S_orbital_lateral_thickness,rh_S_orbital_lateral_thickness,
Right Sulcus Orbital Med-olfact Thickness From Qdec,,,,,,,,,rh_S_orbital_med-olfact_thickness,,,,rh_S_orbital_med-olfact_thickness,,,rh_S_orbital_med-olfact_thickness,(S_orbital_med-olfact)ThickAvg,,,rh_S_orbital_med-olfact_thickness,,rh_S_orbital_med-olfact_thickness,,,rh_S_orbital_med-olfact_thickness,rh_S_orbital_med-olfact_thickness,
Right Sulcus Orbital-H Shaped Thickness From Qdec,,,,,,,,,rh_S_orbital-H_Shaped_thickness,,,,rh_S_orbital-H_Shaped_thickness,,,rh_S_orbital-H_Shaped_thickness,(S_orbital-H_Shaped)ThickAvg,,,rh_S_orbital-H_Shaped_thickness,,rh_S_orbital-H_Shaped_thickness,,,rh_S_orbital-H_Shaped_thickness,rh_S_orbital-H_Shaped_thickness,
Right Sulcus Parieto Occipital Thickness From Qdec,,,,,,,,,rh_S_parieto_occipital_thickness,,,,rh_S_parieto_occipital_thickness,,,rh_S_parieto_occipital_thickness,(S_parieto_occipital)ThickAvg,,,rh_S_parieto_occipital_thickness,,rh_S_parieto_occipital_thickness,,,rh_S_parieto_occipital_thickness,rh_S_parieto_occipital_thickness,
Right Sulcus Pericallosal Thickness From Qdec,,,,,,,,,rh_S_pericallosal_thickness,,,,rh_S_pericallosal_thickness,,,rh_S_pericallosal_thickness,(S_pericallosal)ThickAvg,,,rh_S_pericallosal_thickness,,rh_S_pericallosal_thickness,,,rh_S_pericallosal_thickness,rh_S_pericallosal_thickness,
Right Sulcus Postcentral Thickness From Qdec,,,,,,,,,rh_S_postcentral_thickness,,,,rh_S_postcentral_thickness,,,rh_S_postcentral_thickness,(S_postcentral)ThickAvg,,,rh_S_postcentral_thickness,,rh_S_postcentral_thickness,,,rh_S_postcentral_thickness,rh_S_postcentral_thickness,
Right Sulcus Precentral-inf-part Thickness From Qdec,,,,,,,,,rh_S_precentral-inf-part_thickness,,,,rh_S_precentral-inf-part_thickness,,,rh_S_precentral-inf-part_thickness,(S_precentral-inf-part)ThickAvg,,,rh_S_precentral-inf-part_thickness,,rh_S_precentral-inf-part_thickness,,,rh_S_precentral-inf-part_thickness,rh_S_precentral-inf-part_thickness,
Right Sulcus Precentral-sup-part Thickness From Qdec,,,,,,,,,rh_S_precentral-sup-part_thickness,,,,rh_S_precentral-sup-part_thickness,,,rh_S_precentral-sup-part_thickness,(S_precentral-sup-part)ThickAvg,,,rh_S_precentral-sup-part_thickness,,rh_S_precentral-sup-part_thickness,,,rh_S_precentral-sup-part_thickness,rh_S_precentral-sup-part_thickness,
Right Sulcus Suborbital Thickness From Qdec,,,,,,,,,rh_S_suborbital_thickness,,,,rh_S_suborbital_thickness,,,rh_S_suborbital_thickness,(S_suborbital)ThickAvg,,,rh_S_suborbital_thickness,,rh_S_suborbital_thickness,,,rh_S_suborbital_thickness,rh_S_suborbital_thickness,
Right Sulcus Subparietal Thickness From Qdec,,,,,,,,,rh_S_subparietal_thickness,,,,rh_S_subparietal_thickness,,,rh_S_subparietal_thickness,(S_subparietal)ThickAvg,,,rh_S_subparietal_thickness,,rh_S_subparietal_thickness,,,rh_S_subparietal_thickness,rh_S_subparietal_thickness,
Right Sulcus Temporal Inferior Thickness From Qdec,,,,,,,,,rh_S_temporal_inf_thickness,,,,rh_S_temporal_inf_thickness,,,rh_S_temporal_inf_thickness,(S_temporal_inf)ThickAvg,,,rh_S_temporal_inf_thickness,,rh_S_temporal_inf_thickness,,,rh_S_temporal_inf_thickness,rh_S_temporal_inf_thickness,
Right Sulcus Temporal Sup Thickness From Qdec,,,,,,,,,rh_S_temporal_sup_thickness,,,,rh_S_temporal_sup_thickness,,,rh_S_temporal_sup_thickness,(S_temporal_sup)ThickAvg,,,rh_S_temporal_sup_thickness,,rh_S_temporal_sup_thickness,,,rh_S_temporal_sup_thickness,rh_S_temporal_sup_thickness,
Right Sulcus Temporal Transverse Thickness From Qdec,,,,,,,,,rh_S_temporal_transverse_thickness,,,,rh_S_temporal_transverse_thickness,,,rh_S_temporal_transverse_thickness,(S_temporal_transverse)ThickAvg,,,rh_S_temporal_transverse_thickness,,rh_S_temporal_transverse_thickness,,,rh_S_temporal_transverse_thickness,rh_S_temporal_transverse_thickness,
Right Gyrus And Sulcus Frontomargin Volume From Qdec,,,,,,,,,rh_G_and_S_frontomargin_volume,,,,rh_G_and_S_frontomargin_volume,,,rh_G_and_S_frontomargin_volume,(G_and_S_frontomargin)GrayVol,,,rh_G_and_S_frontomargin_volume,,rh_G_and_S_frontomargin_volume,,,rh_G_and_S_frontomargin_volume,rh_G_and_S_frontomargin_volume,
Right Gyrus And Sulcus Occipital Inferior Volume From Qdec,,,,,,,,,rh_G_and_S_occipital_inf_volume,,,,rh_G_and_S_occipital_inf_volume,,lrinfogv,rh_G_and_S_occipital_inf_volume,(G_and_S_occipital_inf)GrayVol,,,rh_G_and_S_occipital_inf_volume,,rh_G_and_S_occipital_inf_volume,,,rh_G_and_S_occipital_inf_volume,rh_G_and_S_occipital_inf_volume,
Right Gyrus And Sulcus Paracentral Volume From Qdec,,,,,,,,,rh_G_and_S_paracentral_volume,,,,rh_G_and_S_paracentral_volume,,,rh_G_and_S_paracentral_volume,(G_and_S_paracentral)GrayVol,,,rh_G_and_S_paracentral_volume,,rh_G_and_S_paracentral_volume,,,rh_G_and_S_paracentral_volume,rh_G_and_S_paracentral_volume,
Right Gyrus And Sulcus Subcentral Volume From Qdec,,,,,,,,,rh_G_and_S_subcentral_volume,,,,rh_G_and_S_subcentral_volume,,,rh_G_and_S_subcentral_volume,(G_and_S_subcentral)GrayVol,,,rh_G_and_S_subcentral_volume,,rh_G_and_S_subcentral_volume,,,rh_G_and_S_subcentral_volume,rh_G_and_S_subcentral_volume,
Right Gyrus And Sulcus Transv Frontopol Volume From Qdec,,,,,,,,,rh_G_and_S_transv_frontopol_volume,,,,rh_G_and_S_transv_frontopol_volume,,,rh_G_and_S_transv_frontopol_volume,(G_and_S_transv_frontopol)GrayVol,,,rh_G_and_S_transv_frontopol_volume,,rh_G_and_S_transv_frontopol_volume,,,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_transv_frontopol_volume,
Right Gyrus And Sulcus Cingul-Ant Volume From Qdec,,,,,,,,,rh_G_and_S_cingul-Ant_volume,,,,rh_G_and_S_cingul-Ant_volume,,,rh_G_and_S_cingul-Ant_volume,(G_and_S_cingul-Ant)GrayVol,,,rh_G_and_S_cingul-Ant_volume,,rh_G_and_S_cingul-Ant_volume,,,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Ant_volume,
Right Gyrus And Sulcus Cingul-Mid-Ant Volume From Qdec,,,,,,,,,rh_G_and_S_cingul-Mid-Ant_volume,,,,rh_G_and_S_cingul-Mid-Ant_volume,,,rh_G_and_S_cingul-Mid-Ant_volume,(G_and_S_cingul-Mid-Ant)GrayVol,,,rh_G_and_S_cingul-Mid-Ant_volume,,rh_G_and_S_cingul-Mid-Ant_volume,,,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,
Right Gyrus And Sulcus Cingul-Mid-Post Volume From Qdec,,,,,,,,,rh_G_and_S_cingul-Mid-Post_volume,,,,rh_G_and_S_cingul-Mid-Post_volume,,,rh_G_and_S_cingul-Mid-Post_volume,(G_and_S_cingul-Mid-Post)GrayVol,,,rh_G_and_S_cingul-Mid-Post_volume,,rh_G_and_S_cingul-Mid-Post_volume,,,rh_G_and_S_cingul-Mid-Post_volume,rh_G_and_S_cingul-Mid-Post_volume,
Right Gyrus Cingul-Post-dorsal Volume From Qdec,,,,,,,,,rh_G_cingul-Post-dorsal_volume,,,,rh_G_cingul-Post-dorsal_volume,,,rh_G_cingul-Post-dorsal_volume,(G_cingul-Post-dorsal)GrayVol,,,rh_G_cingul-Post-dorsal_volume,,rh_G_cingul-Post-dorsal_volume,,,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-dorsal_volume,
Right Gyrus Cingul-Post-ventral Volume From Qdec,,,,,,,,,rh_G_cingul-Post-ventral_volume,,,,rh_G_cingul-Post-ventral_volume,,,rh_G_cingul-Post-ventral_volume,(G_cingul-Post-ventral)GrayVol,,,rh_G_cingul-Post-ventral_volume,,rh_G_cingul-Post-ventral_volume,,,rh_G_cingul-Post-ventral_volume,rh_G_cingul-Post-ventral_volume,
Right Gyrus Cuneus Volume From Qdec,,,,,,,,,rh_G_cuneus_volume,,,,rh_G_cuneus_volume,,,rh_G_cuneus_volume,(G_cuneus)GrayVol,,,rh_G_cuneus_volume,,rh_G_cuneus_volume,,,rh_G_cuneus_volume,rh_G_cuneus_volume,
Right Gyrus Frontal Inf-Opercular Volume From Qdec,,,,,,,,,rh_G_front_inf-Opercular_volume,,,,rh_G_front_inf-Opercular_volume,,,rh_G_front_inf-Opercular_volume,(G_front_inf-Opercular)GrayVol,,,rh_G_front_inf-Opercular_volume,,rh_G_front_inf-Opercular_volume,,,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Opercular_volume,
Right Gyrus Frontal Inf-Orbital Volume From Qdec,,,,,,,,,rh_G_front_inf-Orbital_volume,,,,rh_G_front_inf-Orbital_volume,,,rh_G_front_inf-Orbital_volume,(G_front_inf-Orbital)GrayVol,,,rh_G_front_inf-Orbital_volume,,rh_G_front_inf-Orbital_volume,,,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Orbital_volume,
Right Gyrus Frontal Inf-Triangul Volume From Qdec,,,,,,,,,rh_G_front_inf-Triangul_volume,,,,rh_G_front_inf-Triangul_volume,,,rh_G_front_inf-Triangul_volume,(G_front_inf-Triangul)GrayVol,,,rh_G_front_inf-Triangul_volume,,rh_G_front_inf-Triangul_volume,,,rh_G_front_inf-Triangul_volume,rh_G_front_inf-Triangul_volume,
Right Gyrus Frontal Middle Volume From Qdec,,,,,,,,,rh_G_front_middle_volume,,,,rh_G_front_middle_volume,,lrmfgyv,rh_G_front_middle_volume,(G_front_middle)GrayVol,,,rh_G_front_middle_volume,,rh_G_front_middle_volume,,,rh_G_front_middle_volume,rh_G_front_middle_volume,
Right Gyrus Frontal Sup Volume From Qdec,,,,,,,,,rh_G_front_sup_volume,,,,rh_G_front_sup_volume,,,rh_G_front_sup_volume,(G_front_sup)GrayVol,,,rh_G_front_sup_volume,,rh_G_front_sup_volume,,,rh_G_front_sup_volume,rh_G_front_sup_volume,
Right Gyrus Ins Lg And Sulcus Cent Ins Volume From Qdec,,,,,,,,,rh_G_Ins_lg_and_S_cent_ins_volume,,,,rh_G_Ins_lg_and_S_cent_ins_volume,,,rh_G_Ins_lg_and_S_cent_ins_volume,(G_Ins_lg_and_S_cent_ins)GrayVol,,,rh_G_Ins_lg_and_S_cent_ins_volume,,rh_G_Ins_lg_and_S_cent_ins_volume,,,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_Ins_lg_and_S_cent_ins_volume,
Right Gyrus Insular Short Volume From Qdec,,,,,,,,,rh_G_insular_short_volume,,,,rh_G_insular_short_volume,,,rh_G_insular_short_volume,(G_insular_short)GrayVol,,,rh_G_insular_short_volume,,rh_G_insular_short_volume,,,rh_G_insular_short_volume,rh_G_insular_short_volume,
